Turno 1 | Jogador 1 | dado1=1 | dado2=3 | soma=4 | total=4
Turno 1 | Jogador 2 | dado1=6 | dado2=1 | soma=7 | total=7
Turno 2 | Jogador 1 | dado1=4 | dado2=2 | soma=6 | total=10
Turno 2 | Jogador 2 | dado1=6 | dado2=6 | soma=12 | total=19
Turno 2 | Jogador 2 | dado1=2 | dado2=6 | soma=8 | total=27
Turno 3 | Jogador 1 | dado1=6 | dado2=5 | soma=11 | total=21
Turno 3 | Jogador 2 | dado1=2 | dado2=1 | soma=3 | total=30
Turno 4 | Jogador 1 | dado1=6 | dado2=2 | soma=8 | total=29
Turno 4 | Jogador 2 | dado1=5 | dado2=4 | soma=9 | total=39
Turno 5 | Jogador 1 | dado1=4 | dado2=2 | soma=6 | total=35
Turno 5 | Jogador 2 | dado1=3 | dado2=5 | soma=8 | total=47
Turno 6 | Jogador 1 | dado1=6 | dado2=2 | soma=8 | total=43
Turno 6 | Jogador 2 | dado1=2 | dado2=3 | soma=5 | total=52
Turno 7 | Jogador 1 | dado1=6 | dado2=5 | soma=11 | total=54
Turno 7 | Jogador 2 | dado1=1 | dado2=5 | soma=6 | total=58
Turno 8 | Jogador 1 | dado1=1 | dado2=6 | soma=7 | total=61
Turno 8 | Jogador 2 | dado1=2 | dado2=1 | soma=3 | total=61
Turno 9 | Jogador 1 | dado1=2 | dado2=2 | soma=4 | total=65
Turno 9 | Jogador 1 | dado1=1 | dado2=4 | soma=5 | total=70
Turno 9 | Jogador 2 | dado1=4 | dado2=6 | soma=10 | total=71
Turno 10 | Jogador 1 | dado1=6 | dado2=4 | soma=10 | total=80
Turno 10 | Jogador 2 | dado1=6 | dado2=3 | soma=9 | total=80
Turno 11 | Jogador 1 | dado1=2 | dado2=4 | soma=6 | total=86
Turno 11 | Jogador 2 | dado1=5 | dado2=3 | soma=8 | total=88
Turno 12 | Jogador 1 | dado1=2 | dado2=4 | soma=6 | total=92
Turno 12 | Jogador 2 | dado1=2 | dado2=2 | soma=4 | total=92
Turno 12 | Jogador 2 | dado1=1 | dado2=4 | soma=5 | total=97
Turno 13 | Jogador 1 | dado1=2 | dado2=2 | soma=4 | total=96
Turno 13 | Jogador 1 | dado1=4 | dado2=1 | soma=5 | total=101
Turno 13 | Jogador 2 | dado1=2 | dado2=4 | soma=6 | total=103
Turno 14 | Jogador 1 | dado1=1 | dado2=3 | soma=4 | total=105
Turno 14 | Jogador 2 | dado1=2 | dado2=2 | soma=4 | total=107
Turno 14 | Jogador 2 | dado1=3 | dado2=6 | soma=9 | total=116
Turno 15 | Jogador 1 | dado1=5 | dado2=1 | soma=6 | total=111
Turno 15 | Jogador 2 | dado1=5 | dado2=2 | soma=7 | total=123
