Turno 1 | Jogador 1 | dado1=3 | dado2=6 | soma=9 | total=9
Turno 1 | Jogador 2 | dado1=3 | dado2=4 | soma=7 | total=7
Turno 2 | Jogador 1 | dado1=6 | dado2=4 | soma=10 | total=19
Turno 2 | Jogador 2 | dado1=1 | dado2=3 | soma=4 | total=11
Turno 3 | Jogador 1 | dado1=5 | dado2=4 | soma=9 | total=28
Turno 3 | Jogador 2 | dado1=4 | dado2=5 | soma=9 | total=20
Turno 4 | Jogador 1 | dado1=3 | dado2=2 | soma=5 | total=33
Turno 4 | Jogador 2 | dado1=6 | dado2=5 | soma=11 | total=31
Turno 5 | Jogador 1 | dado1=2 | dado2=2 | soma=4 | total=37
Turno 5 | Jogador 1 | dado1=3 | dado2=1 | soma=4 | total=41
Turno 5 | Jogador 2 | dado1=5 | dado2=6 | soma=11 | total=42
Turno 6 | Jogador 1 | dado1=2 | dado2=2 | soma=4 | total=45
Turno 6 | Jogador 1 | dado1=2 | dado2=4 | soma=6 | total=51
Turno 6 | Jogador 2 | dado1=6 | dado2=1 | soma=7 | total=49
Turno 7 | Jogador 1 | dado1=1 | dado2=3 | soma=4 | total=55
Turno 7 | Jogador 2 | dado1=1 | dado2=1 | soma=2 | total=51
Turno 7 | Jogador 2 | dado1=5 | dado2=5 | soma=10 | total=61
Turno 7 | Jogador 2 | dado1=2 | dado2=3 | soma=5 | total=66
Turno 8 | Jogador 1 | dado1=2 | dado2=5 | soma=7 | total=62
Turno 8 | Jogador 2 | dado1=6 | dado2=6 | soma=12 | total=78
Turno 8 | Jogador 2 | dado1=3 | dado2=1 | soma=4 | total=82
Turno 9 | Jogador 1 | dado1=6 | dado2=3 | soma=9 | total=71
Turno 9 | Jogador 2 | dado1=3 | dado2=6 | soma=9 | total=91
Turno 10 | Jogador 1 | dado1=3 | dado2=2 | soma=5 | total=76
Turno 10 | Jogador 2 | dado1=1 | dado2=4 | soma=5 | total=96
